state,year,cigs
MS,1985,115.3
MS,1986,113.2
MS,1987,110
MS,1988,109
MS,1989,108.3
MS,1990,101.8
MS,1991,105.6
MS,1992,103.9
MS,1993,105.4
MS,1994,106
MS,1995,107.5
MS,1996,106.9
MS,1997,106.3
MS,1998,107
MS,1999,103.9
MS,2000,97.2
MT,1970,111.2
MT,1971,115.6
MT,1972,122.2
MT,1973,119.9
MT,1974,121.9
MT,1975,123.7
MT,1976,124.9
MT,1977,127
MT,1978,127.2
MT,1979,120.3
MT,1980,122
MT,1981,121.1
MT,1982,122.4
MT,1983,113.7
MT,1984,110.1
MT,1985,103.6
MT,1986,97.8
MT,1987,91.7
MT,1988,87.1
MT,1989,86.2
MT,1990,84.7
MT,1991,82.9
MT,1992,86.6
MT,1993,86
MT,1994,88.2
MT,1995,90.5
MT,1996,87.3
MT,1997,88.9
MT,1998,89.1
MT,1999,82.6
MT,2000,75.5
NC,1970,172.4
NC,1971,187.6
NC,1972,214.1
NC,1973,226.5
NC,1974,227.3
NC,1975,226
NC,1976,230.2
NC,1977,217
NC,1978,205.5
NC,1979,197.3
NC,1980,187.8
NC,1981,179.3
NC,1982,179
NC,1983,169.7
NC,1984,160.6
NC,1985,156.3
NC,1986,154.4
NC,1987,150.5
NC,1988,146
NC,1989,139.3
NC,1990,133.7
NC,1991,132.7
NC,1992,128.8
NC,1993,129.7
NC,1994,112.7
NC,1995,124.9
NC,1996,129.7
NC,1997,125.6
NC,1998,126
NC,1999,113.1
NC,2000,109
ND,1970,93.8
ND,1971,98.5
ND,1972,103.8
ND,1973,108.7
ND,1974,110.5
ND,1975,117.9
ND,1976,125.4
ND,1977,122.2
ND,1978,121.9
ND,1979,121.3
ND,1980,123.7
ND,1981,125.7
ND,1982,126.8
ND,1983,119.6
ND,1984,109.4
ND,1985,103.2
ND,1986,99.8
ND,1987,92.3
ND,1988,87.1
ND,1989,84.1
ND,1990,77.1
ND,1991,85.2
ND,1992,74.4
ND,1993,83
ND,1994,81
ND,1995,80.6
ND,1996,80.8
ND,1997,77.5
ND,1998,79.1
ND,1999,74.7
ND,2000,72.5
NE,1970,108.1
NE,1971,108.6
NE,1972,104.9
NE,1973,106.6
NE,1974,110.5
NE,1975,114.1
NE,1976,118.1
NE,1977,117.7
NE,1978,117.4
NE,1979,116.1
NE,1980,116.3
NE,1981,117
NE,1982,117.1
NE,1983,110.8
NE,1984,107.7
NE,1985,105.1
NE,1986,103.1
NE,1987,101.3
NE,1988,92.9
NE,1989,93.8
NE,1990,89.9
NE,1991,92.4
NE,1992,90.6
NE,1993,91.1
NE,1994,85.9
NE,1995,88.5
NE,1996,86.2
NE,1997,85.5
NE,1998,79.7
NE,1999,86.8
NE,2000,77.6
NH,1970,265.7
NH,1971,278
NH,1972,296.2
NH,1973,279
NH,1974,269.8
NH,1975,269.1
NH,1976,290.5
NH,1977,278.8
NH,1978,269.6
NH,1979,254.6
NH,1980,247.8
NH,1981,245.4
NH,1982,239.8
NH,1983,232.9
NH,1984,215.1
NH,1985,201.1
NH,1986,195.9
NH,1987,195.1
NH,1988,180.4
NH,1989,172.9
NH,1990,152.4
NH,1991,144.8
NH,1992,143.7
NH,1993,148.9
NH,1994,153.8
NH,1995,158.5
NH,1996,158
NH,1997,174.4
NH,1998,173.8
NH,1999,171.7
NH,2000,147.3
NJ,1970,120.7
NJ,1971,125.1
NJ,1972,128.4
NJ,1973,120.2
NJ,1974,121.4
NJ,1975,122.3
NJ,1976,122.4
NJ,1977,122.8
NJ,1978,123.9
NJ,1979,123.8
NJ,1980,124.3
NJ,1981,127.9
NJ,1982,126.3
NJ,1983,121.3
NJ,1984,117.8
NJ,1985,116.9
NJ,1986,115.5
NJ,1987,111.6
NJ,1988,107.8
NJ,1989,103
NJ,1990,98.6
NJ,1991,86.7
NJ,1992,86.6
NJ,1993,82.9
NJ,1994,81.6
NJ,1995,81
NJ,1996,79.1
NJ,1997,77
NJ,1998,72.6
NJ,1999,63.6
NJ,2000,60.1
NM,1970,90
NM,1971,92.6
NM,1972,99.3
NM,1973,98.9
NM,1974,100.3
NM,1975,103.1
NM,1976,102.4
NM,1977,102.4
NM,1978,103.1
NM,1979,101
NM,1980,102.7
NM,1981,103
NM,1982,97.5
NM,1983,96.3
NM,1984,88.9
NM,1985,88
NM,1986,88.2
NM,1987,82.3
NM,1988,77.7
NM,1989,74.4
NM,1990,70.8
NM,1991,69.9
NM,1992,71.4
NM,1993,69
NM,1994,68.2
NM,1995,67
NM,1996,65.7
NM,1997,61.8
NM,1998,62.6
NM,1999,59.7
NM,2000,53.8
NV,1970,189.5
NV,1971,190.5
NV,1972,198.6
NV,1973,201.5
NV,1974,204.7
NV,1975,205.2
NV,1976,201.4
NV,1977,190.8
NV,1978,187
NV,1979,183.3
NV,1980,177.7
NV,1981,171.9
NV,1982,165.1
NV,1983,159.2
NV,1984,136.6
NV,1985,146.7
NV,1986,142.6
NV,1987,147.7
NV,1988,141.9
NV,1989,137.9
NV,1990,137.3
NV,1991,115.5
NV,1992,110
NV,1993,108.1
NV,1994,105.2
NV,1995,100.9
NV,1996,99
NV,1997,95.6
NV,1998,102.4
NV,1999,103.9
NV,2000,93.2
NY,1970,119
NY,1971,123.3
NY,1972,119.9
NY,1973,118.7
NY,1974,121.6
NY,1975,123.9
NY,1976,124.6
NY,1977,125.5
NY,1978,126.4
NY,1979,124.4
NY,1980,127.6
NY,1981,130.1
NY,1982,128.5
NY,1983,124.6
NY,1984,119.3
NY,1985,115.9
NY,1986,114
NY,1987,108.9
NY,1988,106.2
NY,1989,100.1
NY,1990,93.7
NY,1991,86.4
NY,1992,82.4
NY,1993,78.2
NY,1994,71.6
NY,1995,70.5
NY,1996,65.9
NY,1997,64.5
NY,1998,64.9
NY,1999,62.9
NY,2000,57.8
OH,1970,121.6
OH,1971,124.6
OH,1972,124.4
OH,1973,120.5
OH,1974,122.1
OH,1975,122.5
OH,1976,124.6
OH,1977,127.3
OH,1978,131.3
OH,1979,130.9
OH,1980,133.5
OH,1981,132.8
OH,1982,134
OH,1983,130
OH,1984,127.1
OH,1985,126.7
OH,1986,126.3
OH,1987,124.6
OH,1988,122.4
OH,1989,118.6
OH,1990,115.5
OH,1991,113.2
OH,1992,112.3
OH,1993,108.9
OH,1994,108.6
OH,1995,111.7
OH,1996,107.6
OH,1997,108.6
OH,1998,106.4
OH,1999,104
OH,2000,99.9
OK,1970,108.4
OK,1971,115.4
OK,1972,121.7
OK,1973,124.1
OK,1974,130.5
OK,1975,132.9
OK,1976,138.6
OK,1977,140.4
OK,1978,143.6
OK,1979,141.6
OK,1980,141.6
OK,1981,143.7
OK,1982,147
OK,1983,140
OK,1984,128.1
OK,1985,124.2
OK,1986,119.9
OK,1987,113.1
OK,1988,103.6
OK,1989,97.5
OK,1990,88.4
OK,1991,87.8
OK,1992,86.3
OK,1993,86.2
OK,1994,104.8
OK,1995,109.5
OK,1996,110.8
OK,1997,111.8
OK,1998,112.2
OK,1999,111.4
OK,2000,108.9
OR,1970,157
OR,1971,157.9
OR,1972,160.4
OR,1973,155.3
OR,1974,155.8
OR,1975,154.4
OR,1976,156.5
OR,1977,155.6
OR,1978,156.3
OR,1979,150.7
OR,1980,146.5
OR,1981,143.1
OR,1982,135.3
OR,1983,124.6
OR,1984,118
OR,1985,118.6
OR,1986,112
OR,1987,108.9
OR,1988,108.2
OR,1989,106.6
OR,1990,102.5
OR,1991,100.1
OR,1992,101.6
OR,1993,98.7
OR,1994,96.6
OR,1995,94.6
OR,1996,94.3
OR,1997,89.5
OR,1998,84.2
OR,1999,79.9
OR,2000,72
PA,1970,107.3
PA,1971,106.3
PA,1972,109
PA,1973,110.7
PA,1974,114.2
PA,1975,114.6
PA,1976,118.8
PA,1977,120.1
PA,1978,122.3
PA,1979,122.6
PA,1980,124
PA,1981,125.2
PA,1982,123.3
PA,1983,125.3
PA,1984,115.3
PA,1985,115.8
PA,1986,113.9
PA,1987,110.6
PA,1988,107.6
PA,1989,107.1
PA,1990,101.3
PA,1991,102.5
PA,1992,96.2
PA,1993,94.7
PA,1994,95.4
PA,1995,95.4
PA,1996,93.3
PA,1997,92.9
PA,1998,92.1
PA,1999,91.1
PA,2000,87.9
RI,1970,123.9
RI,1971,123.2
RI,1972,134.4
RI,1973,142
RI,1974,146.1
RI,1975,154.7
RI,1976,150.2
RI,1977,148.8
RI,1978,146.8
RI,1979,145.8
RI,1980,149.3
RI,1981,151.2
RI,1982,146.3
RI,1983,135.8
RI,1984,136.9
RI,1985,133.4
RI,1986,136.3
RI,1987,124.4
RI,1988,138
RI,1989,120.8
RI,1990,101.4
RI,1991,103.6
RI,1992,100.1
RI,1993,94.1
RI,1994,91.9
RI,1995,90.8
RI,1996,87.5
RI,1997,90
RI,1998,88.7
RI,1999,86.9
RI,2000,83.1
SC,1970,103.6
SC,1971,115
SC,1972,118.7
SC,1973,125.5
SC,1974,129.7
SC,1975,130.5
SC,1976,136.8
SC,1977,137.2
SC,1978,140.4
SC,1979,135.7
SC,1980,138.3
SC,1981,136.1
SC,1982,136
SC,1983,131.1
SC,1984,127
SC,1985,125.4
SC,1986,126.6
SC,1987,126.6
SC,1988,124.4
SC,1989,122.4
SC,1990,118.6
SC,1991,121.5
SC,1992,112.9
SC,1993,115.2
SC,1994,112.2
SC,1995,109.2
SC,1996,102.9
SC,1997,124.5
SC,1998,126.9
SC,1999,109.4
SC,2000,103.9
SD,1970,92.7
SD,1971,96.7
SD,1972,103
SD,1973,103.5
SD,1974,108.4
SD,1975,113.5
SD,1976,116.7
SD,1977,115.6
SD,1978,116.9
SD,1979,117.4
SD,1980,114.7
SD,1981,115.7
SD,1982,113
SD,1983,109.8
SD,1984,105.7
SD,1985,104.4
SD,1986,97
SD,1987,95.8
SD,1988,91.9
SD,1989,87.4
SD,1990,88.3
SD,1991,91.8
SD,1992,93
SD,1993,91.6
SD,1994,94.8
SD,1995,98.6
SD,1996,92.3
SD,1997,88.8
SD,1998,88.3
SD,1999,83.5
SD,2000,75.1
TN,1970,99.8
TN,1971,106.3
TN,1972,111.5
TN,1973,109.7
TN,1974,114.8
TN,1975,117.4
TN,1976,121.7
TN,1977,124.6
TN,1978,127.3
TN,1979,127.2
TN,1980,130.4
TN,1981,129.1
TN,1982,131.4
TN,1983,129
TN,1984,125.1
TN,1985,128.7
TN,1986,107.9
TN,1987,130.6
TN,1988,125.3
TN,1989,124.7
TN,1990,121.8
TN,1991,120.6
TN,1992,121
TN,1993,120.8
TN,1994,118.8
TN,1995,125.4
TN,1996,119.2
TN,1997,118.9
TN,1998,119.7
TN,1999,115.8
TN,2000,108.7
TX,1970,106.4
TX,1971,108.9
TX,1972,108.6
TX,1973,110.4
TX,1974,114.7
TX,1975,116
TX,1976,121.4
TX,1977,124.2
TX,1978,126.6
TX,1979,126.4
TX,1980,129.7
TX,1981,129
TX,1982,131.2
TX,1983,126.4
TX,1984,117.2
TX,1985,115.9
TX,1986,113.7
TX,1987,105.8
TX,1988,96.5
TX,1989,94.5
TX,1990,85.6
TX,1991,79.6
TX,1992,77.2
TX,1993,81.3
TX,1994,78.8
TX,1995,75.2
TX,1996,74.6
TX,1997,72.6
TX,1998,73.2
TX,1999,67.8
TX,2000,69.3
UT,1970,65.5
UT,1971,67.7
UT,1972,71.3
UT,1973,72.7
UT,1974,75.6
UT,1975,75.8
UT,1976,77.9
UT,1977,78.9
UT,1978,79.6
UT,1979,79.1
UT,1980,74.8
UT,1981,77.6
UT,1982,73.6
UT,1983,69
UT,1984,66.3
UT,1985,66.5
UT,1986,64.4
UT,1987,67.7
UT,1988,55
UT,1989,57
UT,1990,53.4
UT,1991,53.5
UT,1992,55
UT,1993,56.2
UT,1994,55.8
UT,1995,52
UT,1996,54
UT,1997,57
UT,1998,42.3
UT,1999,43.9
UT,2000,40.7
VA,1970,124.3
VA,1971,128.4
VA,1972,137
VA,1973,143.1
VA,1974,149.6
VA,1975,152.7
VA,1976,158.1
VA,1977,157.7
VA,1978,155.9
VA,1979,151.8
VA,1980,148.9
VA,1981,149.9
VA,1982,147.4
VA,1983,144.7
VA,1984,136.8
VA,1985,134.6
VA,1986,135.8
VA,1987,133
VA,1988,129.5
VA,1989,122.5
VA,1990,118.9
VA,1991,109.1
VA,1992,108.2
VA,1993,105.4
VA,1994,106.2
VA,1995,106.7
VA,1996,104.6
VA,1997,108
VA,1998,105.6
VA,1999,102.1
VA,2000,96.7
VT,1970,122.6
VT,1971,124.4
VT,1972,138
VT,1973,146.8
VT,1974,151.8
VT,1975,155.5
VT,1976,171.1
VT,1977,169.4
VT,1978,162.4
VT,1979,160.9
VT,1980,161.6
VT,1981,163.8
VT,1982,162.3
VT,1983,153.8
VT,1984,144.3
VT,1985,144.5
VT,1986,131.2
VT,1987,128.3
VT,1988,128.7
VT,1989,120.9
VT,1990,124.3
VT,1991,120.9
VT,1992,126.5
VT,1993,117.2
VT,1994,120.3
VT,1995,123.2
VT,1996,102.5
VT,1997,97.7
VT,1998,97
VT,1999,94.1
VT,2000,88.9
WA,1970,96.7
WA,1971,97
WA,1972,88.5
WA,1973,91
WA,1974,98.6
WA,1975,99.5
WA,1976,100.3
WA,1977,99.3
WA,1978,101.3
WA,1979,101.4
WA,1980,101.4
WA,1981,112.7
WA,1982,106.6
WA,1983,102.4
WA,1984,96.2
WA,1985,96.5
WA,1986,94.2
WA,1987,91.3
WA,1988,88.2
WA,1989,86.1
WA,1990,83.4
WA,1991,78.7
WA,1992,81.1
WA,1993,79.4
WA,1994,72.6
WA,1995,67.4
WA,1996,58.1
WA,1997,55.6
WA,1998,56.4
WA,1999,55.1
WA,2000,52.8
WI,1970,106.4
WI,1971,105.4
WI,1972,108.8
WI,1973,109.5
WI,1974,111.8
WI,1975,113.5
WI,1976,115.4
WI,1977,117.2
WI,1978,116.7
WI,1979,117.1
WI,1980,117.6
WI,1981,119.9
WI,1982,115.6
WI,1983,106.3
WI,1984,105.6
WI,1985,107
WI,1986,105.4
WI,1987,106
WI,1988,102.6
WI,1989,100.3
WI,1990,94.1
WI,1991,95.5
WI,1992,96.2
WI,1993,91.2
WI,1994,91.8
WI,1995,93.5
WI,1996,92.1
WI,1997,91.9
WI,1998,88.7
WI,1999,84.4
WI,2000,80.1
WV,1970,114.5
WV,1971,111.5
WV,1972,117.5
WV,1973,116.6
WV,1974,119.9
WV,1975,123.2
WV,1976,129.7
WV,1977,133.9
WV,1978,131.6
WV,1979,122.1
WV,1980,122.3
WV,1981,120.5
WV,1982,119.8
WV,1983,115.7
WV,1984,111.9
WV,1985,109.1
WV,1986,112.1
WV,1987,107.5
WV,1988,109.1
WV,1989,104
WV,1990,104.1
WV,1991,100.1
WV,1992,98
WV,1993,111
WV,1994,104.2
WV,1995,115.8
WV,1996,112.7
WV,1997,114.5
WV,1998,114.6
WV,1999,112.4
WV,2000,107.9
WY,1970,132.2
WY,1971,131.7
WY,1972,140
WY,1973,141.2
WY,1974,145.8
WY,1975,160.7
WY,1976,161.5
WY,1977,160.4
WY,1978,160.3
WY,1979,168.6
WY,1980,158.1
WY,1981,163.1
WY,1982,157.7
WY,1983,141.2
WY,1984,128.9
WY,1985,125.7
WY,1986,124.8
WY,1987,110.4
WY,1988,114.3
WY,1989,111.4
WY,1990,96.9
WY,1991,109.1
WY,1992,110.8
WY,1993,108.4
WY,1994,111.2
WY,1995,115
WY,1996,110.3
WY,1997,108.8
WY,1998,102.9
WY,1999,104.8
WY,2000,90.5
